id,player_id,team_id,season,games_played,role
1,1,PL,2025,19,main_squad
2,2,PL,2025,18,main_squad
3,3,PL,2025,18,main_squad
4,4,PL,2025,18,main_squad
5,5,PL,2025,17,main_squad
6,6,PL,2025,17,main_squad
7,7,PL,2025,17,main_squad
8,7,PLR,2025,1,fill_in
9,8,PL,2025,16,main_squad
10,9,PL,2025,16,main_squad
11,10,PL,2025,15,main_squad
12,10,PLR,2025,1,fill_in
13,11,PL,2025,14,main_squad
14,11,PLR,2025,2,fill_in
15,12,PL,2025,13,main_squad
16,13,PL,2025,12,main_squad
17,14,PL,2025,12,main_squad
18,14,PLR,2025,1,fill_in
19,15,PL,2025,12,main_squad
20,15,PLR,2025,1,fill_in
21,16,PL,2025,11,main_squad
22,16,PLR,2025,1,fill_in
23,17,PL,2025,9,main_squad
24,17,PLR,2025,4,fill_in
25,18,PL,2025,6,main_squad
26,18,PLR,2025,1,fill_in
27,19,PL,2025,5,main_squad
28,19,PLR,2025,2,fill_in
29,20,PL,2025,2,main_squad
30,21,PL,2025,6,fill_in
31,21,PLR,2025,8,main_squad
32,22,PL,2025,5,fill_in
33,22,PLR,2025,12,main_squad
34,23,PL,2025,3,fill_in
35,23,PLR,2025,6,main_squad
36,24,PL,2025,3,fill_in
37,24,PLR,2025,15,main_squad
38,25,PL,2025,2,fill_in
39,25,PLR,2025,9,main_squad
40,25,PB,2025,1,fill_in
41,26,PL,2025,1,fill_in
42,26,PLR,2025,9,main_squad
43,26,PB,2025,3,fill_in
